productid,date,item,transid,month,weekday
7325,07/21/2015,tropical fruit,180816637,7,Tuesday
2199,1/5/2015,whole milk,255216440,1,Monday
3472,09/19/2015,pip fruit,230016697,9,Saturday
1733,12/12/2015,other vegetables,118716781,12,Saturday
2199,2/1/2015,whole milk,303716467,2,Sunday
8730,02/14/2015,rolls/buns,494116480,2,Saturday
1733,5/8/2015,other vegetables,450116563,5,Friday
6059,12/23/2015,pot plants,380316792,12,Wednesday
2199,03/20/2015,whole milk,276216514,3,Friday
7325,2/12/2015,tropical fruit,411916478,2,Thursday
6341,02/24/2015,citrus fruit,134016490,2,Tuesday
8144,04/14/2015,beef,219316539,4,Tuesday
4549,07/21/2015,frankfurter,199716637,7,Tuesday
2379,9/3/2015,chicken,454616681,9,Thursday
6095,07/21/2015,butter,473616637,7,Tuesday
2155,03/30/2015,fruit/vegetable juice,195916524,3,Monday
8128,5/3/2015,packaged fruit/vegetables,197416558,5,Sunday
8014,9/2/2015,chocolate,242116680,9,Wednesday
9782,8/3/2015,specialty bar,151316650,8,Monday
1733,7/7/2015,other vegetables,190516623,7,Tuesday
3578,9/8/2015,butter milk,281016686,9,Tuesday
2199,11/12/2015,whole milk,286716751,11,Thursday
7325,09/18/2015,tropical fruit,396216696,9,Friday
7325,11/30/2015,tropical fruit,108816769,11,Monday
8147,07/17/2015,bottled water,497616633,7,Friday
2703,6/12/2015,yogurt,405616598,6,Friday
2464,02/13/2015,sausage,361116479,2,Friday
1733,01/14/2015,other vegetables,142016449,1,Wednesday
1865,3/8/2015,brown bread,428616502,3,Sunday
2703,01/27/2015,yogurt,491816462,1,Tuesday
4417,10/22/2015,hamburger meat,478316730,10,Thursday
1851,10/26/2015,root vegetables,370916734,10,Monday
7292,10/8/2015,pork,428916716,10,Thursday
8144,10/3/2015,beef,155916711,10,Saturday
8093,4/11/2015,pastry,290016536,4,Saturday
2155,02/21/2015,fruit/vegetable juice,190516487,2,Saturday
8479,09/29/2015,canned beer,352716707,9,Tuesday
1851,1/9/2015,root vegetables,149516444,1,Friday
6341,4/3/2015,citrus fruit,355816528,4,Friday
2464,04/20/2015,sausage,312816545,4,Monday
7325,8/4/2015,tropical fruit,186316651,8,Tuesday
1123,07/19/2015,berries,384116635,7,Sunday
8479,10/6/2015,canned beer,390316714,10,Tuesday
3578,10/16/2015,butter milk,265816724,10,Friday
3059,6/6/2015,coffee,427216592,6,Saturday
8093,09/26/2015,pastry,112016704,9,Saturday
8730,08/15/2015,rolls/buns,267616662,8,Saturday
2400,05/21/2015,misc. beverages,169716576,5,Thursday
1851,08/25/2015,root vegetables,250716672,8,Tuesday
2464,3/11/2015,sausage,462016505,3,Wednesday
8479,2/1/2015,canned beer,336516467,2,Sunday
9301,6/5/2015,ham,297816591,6,Friday
2456,07/28/2015,turkey,291016644,7,Tuesday
2199,9/5/2015,whole milk,106116683,9,Saturday
2199,4/3/2015,whole milk,327616528,4,Friday
8128,06/19/2015,packaged fruit/vegetables,132616605,6,Friday
8730,07/28/2015,rolls/buns,302316644,7,Tuesday
9301,10/11/2015,ham,218516719,10,Sunday
8730,06/16/2015,rolls/buns,355216602,6,Tuesday
1733,01/20/2015,other vegetables,196716455,1,Tuesday
2464,03/20/2015,sausage,470816514,3,Friday
2464,02/15/2015,sausage,287416481,2,Sunday
4549,04/13/2015,frankfurter,417716538,4,Monday
8730,2/7/2015,rolls/buns,166316473,2,Saturday
2199,3/2/2015,whole milk,263216496,3,Monday
6219,03/14/2015,curd cheese,137716508,3,Saturday
